Fecha,Hora,Radiacion,Temperatura
2019-01-29,15,643,308.45
2019-01-29,15,622,308.15
2019-01-29,15,591,307.85
2019-01-29,15,591,307.65
2019-01-29,16,588,307.25
2019-01-29,16,554,307.45
2019-01-29,16,526,307.25
2019-01-29,16,510,307.15
2019-01-29,16,488,306.95
2019-01-29,16,471,306.85
2019-01-29,16,480,307.15
2019-01-29,16,496,307.55
2019-01-29,16,516,307.05
2019-01-29,16,371,306.85
2019-01-29,16,318,306.75
2019-01-29,16,229,306.65
2019-01-29,17,374,306.75
2019-01-29,17,380,306.95
2019-01-29,17,235,306.85
2019-01-29,17,148,306.25
2019-01-29,17,129,305.75
2019-01-29,17,133,305.25
2019-01-29,17,137,304.95
2019-01-29,17,134,304.85
2019-01-29,17,127,304.65
2019-01-29,17,122,304.55
2019-01-29,17,98,304.35
2019-01-29,17,88,304.25
2019-01-29,18,59,303.95
2019-01-29,18,44,303.55
2019-01-29,18,40,303.15
2019-01-29,18,31,302.65
2019-01-29,18,30,302.25
2019-01-29,18,16,301.95
2019-01-29,18,8,301.75
2019-01-29,18,3,301.55
2019-01-29,18,-1,301.35
2019-01-29,18,-1,301.15
2019-01-29,18,-1,301.05
2019-01-29,18,-2,300.95
2019-01-29,19,-1,300.95
2019-01-29,19,0,301.05
2019-01-29,19,-1,301.05
2019-01-29,19,-1,301.05
2019-01-29,19,-1,300.95
2019-01-29,19,-2,300.85
2019-01-29,19,-3,300.65
2019-01-29,19,-3,300.45
2019-01-29,19,-3,300.25
2019-01-29,19,-3,300.15
2019-01-29,19,-3,300.05
2019-01-29,19,-3,299.95
2019-01-29,20,-2,299.95
2019-01-29,20,-2,299.95
2019-01-29,20,-1,300.05
2019-01-29,20,-2,300.05
2019-01-29,20,-2,300.05
2019-01-29,20,-3,299.95
2019-01-29,20,-4,299.75
2019-01-29,20,-4,299.55
2019-01-29,20,-4,299.25
2019-01-29,20,-3,299.15
2019-01-29,20,-3,298.95
2019-01-29,20,-3,298.85
2019-01-29,21,-3,298.75
2019-01-29,21,-3,298.65
2019-01-29,21,-3,298.65
2019-01-29,21,-3,298.65
2019-01-29,21,-3,298.55
2019-01-29,21,-2,298.55
2019-01-29,21,-3,298.45
2019-01-29,21,-3,298.25
2019-01-29,21,-3,297.85
2019-01-29,21,-2,297.25
2019-01-29,21,0,297.05
2019-01-29,21,0,297.05
2019-01-29,22,0,297.05
2019-01-29,22,0,297.05
2019-01-29,22,0,297.15
2019-01-29,22,0,297.05
2019-01-29,22,0,297.05
2019-01-29,22,0,297.05
2019-01-29,22,0,297.05
2019-01-29,22,0,297.05
2019-01-29,22,0,297.15
2019-01-29,22,0,297.05
2019-01-29,22,0,297.05
2019-01-29,22,0,297.05
2019-01-29,23,0,297.15
2019-01-29,23,0,297.15
2019-01-29,23,0,297.25
2019-01-29,23,0,297.25
2019-01-29,23,0,297.35
2019-01-29,23,0,297.45
2019-01-29,23,0,297.45
2019-01-29,23,0,297.45
2019-01-29,23,-1,297.45
2019-01-29,23,0,297.45
2019-01-29,23,0,297.45
2019-01-29,23,0,297.45
2019-01-30,00,-1,297.45
2019-01-30,00,-1.0,297.45
2019-01-30,00,0.0,297.55
2019-01-30,00,0.0,297.55
2019-01-30,00,0.0,297.55
2019-01-30,00,0.0,297.55
2019-01-30,00,0.0,297.55
2019-01-30,00,0.0,297.55
2019-01-30,00,0.0,297.55
2019-01-30,00,-1.0,297.55
2019-01-30,00,0.0,297.55
2019-01-30,00,0.0,297.65
2019-01-30,01,0.0,297.65
2019-01-30,01,-1.0,297.55
2019-01-30,01,0.0,297.55
2019-01-30,01,-1.0,297.45
2019-01-30,01,-1.0,297.45
2019-01-30,01,-1.0,297.35
2019-01-30,01,0.0,297.35
2019-01-30,01,-1.0,297.35
2019-01-30,01,0.0,297.25
2019-01-30,01,0.0,297.25
2019-01-30,01,0.0,297.35
2019-01-30,01,-1.0,297.35
2019-01-30,02,0.0,297.35
2019-01-30,02,0.0,297.35
2019-01-30,02,0.0,297.35
2019-01-30,02,0.0,297.35
2019-01-30,02,-1.0,297.25
2019-01-30,02,-1.0,297.15
2019-01-30,02,-1.0,297.05
2019-01-30,02,0.0,297.05
2019-01-30,02,-1.0,296.95
2019-01-30,02,-1.0,296.95
2019-01-30,02,0.0,296.85
2019-01-30,02,0.0,296.85
2019-01-30,03,0.0,296.85
2019-01-30,03,0.0,296.85
2019-01-30,03,0.0,296.85
2019-01-30,03,0.0,296.85
2019-01-30,03,0.0,296.85
2019-01-30,03,0.0,296.85
2019-01-30,03,0.0,296.85
2019-01-30,03,-1.0,296.85
2019-01-30,03,0.0,296.75
2019-01-30,03,0.0,296.65
2019-01-30,03,0.0,296.75
2019-01-30,03,0.0,296.75
2019-01-30,04,0.0,296.75
2019-01-30,04,0.0,296.75
2019-01-30,04,0.0,296.85
2019-01-30,04,-1.0,296.65
2019-01-30,04,-1.0,296.45
2019-01-30,04,0.0,296.35
2019-01-30,04,0.0,296.35
